Task,TabuLa-8B (0 shots),TabuLa-8B (1 shots),TabuLa-8B (2 shots),TabuLa-8B (3 shots),TabuLa-8B (4 shots),TabuLa-8B (8 shots),TabuLa-8B (16 shots),TabuLa-8B (32 shots),TabuLa-8B (64 shots),TabuLa-8B (128 shots),Random Baseline
unipredict/noordeen/insurance-premium-prediction,0.461,0.492,0.57,0.586,0.531,0.656,0.633,0.734,,,0.25
unipredict/oles04/bundesliga-seasons,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,0.5
unipredict/oles04/top-leagues-player,0.484,0.703,0.734,0.766,0.641,0.68,0.719,0.609,,,0.25
unipredict/patelprashant/employee-attrition,0.805,0.82,0.789,0.789,0.82,0.828,0.812,,,,0.5
unipredict/pavansubhasht/ibm-hr-analytics-attrition-dataset,0.82,0.812,0.844,0.82,0.883,0.836,0.852,,,,0.5
unipredict/phangud/spamcsv,0.664,0.773,0.836,0.844,0.883,0.875,0.922,0.969,0.984,0.992,0.5
unipredict/prevek18/ames-housing-dataset,0.445,0.539,0.609,0.516,0.625,0.648,,,,,0.25
unipredict/primaryobjects/voicegender,0.445,0.453,0.656,0.586,0.516,0.586,0.742,,,,0.5
unipredict/prkhrawsthi/bitcoin-usd-daily-price-with-volume-2015-2023,0.961,0.969,0.977,0.992,0.969,0.984,0.984,0.984,,,0.25
unipredict/rajyellow46/wine-quality,0.352,0.391,0.375,0.414,0.453,0.391,0.391,0.438,,,0.143
unipredict/ravibarnawal/mutual-funds-india-detailed,0.203,0.211,0.195,0.211,0.227,0.242,0.266,0.219,,,0.167
unipredict/receplyasolu/6k-weather-labeled-spotify-songs,0.141,0.18,0.117,0.188,0.172,0.242,0.203,0.273,,,0.125
unipredict/redwankarimsony/heart-disease-data,0.273,0.289,0.312,0.375,0.484,0.445,0.547,0.555,,,0.2
unipredict/reihanenamdari/breast-cancer,0.344,0.25,0.289,0.336,0.289,0.258,0.305,0.297,,,0.25
unipredict/rishikeshkonapure/hr-analytics-prediction,0.82,0.766,0.82,0.773,0.836,0.812,0.828,,,,0.5
unipredict/rkiattisak/student-performance-in-mathematics,0.453,0.531,0.477,0.508,0.477,0.578,0.57,0.547,,,0.25
unipredict/rounakbanik/pokemon,0.977,0.977,0.977,1.0,0.969,0.992,0.984,,,,0.5
unipredict/rpaguirre/tesla-stock-price,0.977,0.977,0.969,0.984,0.992,0.984,0.992,0.984,,,0.25
unipredict/rtatman/chocolate-bar-ratings,0.109,0.109,0.141,0.125,0.141,0.203,0.195,0.227,,,0.1
unipredict/ruchi798/student-feedback-survey-responses,0.117,0.094,0.078,0.062,0.062,0.086,0.094,0.07,,,0.1
unipredict/ruchi798/tv-shows-on-netflix-prime-video-hulu-and-disney,0.25,0.203,0.273,0.266,0.312,0.422,0.461,0.477,,,0.167
unipredict/sabasaeed1953/stock-prices-of-2023,0.984,0.969,0.984,0.977,0.969,0.977,0.992,0.977,,,0.25
unipredict/saloni1712/chatgpt-app-reviews,0.625,0.648,0.68,0.617,0.602,0.633,0.68,0.633,0.703,,0.2
unipredict/sanjanchaudhari/bankloan,0.656,0.633,0.648,0.734,0.648,0.672,0.586,0.594,0.664,,0.5
unipredict/sanjanchaudhari/netflix-dataset,0.602,0.531,0.539,0.578,0.5,0.547,0.516,0.5,,,0.1
unipredict/sanjanchaudhari/user-behavior-on-instagram,0.469,0.5,0.57,0.523,0.547,0.68,0.828,0.766,0.773,,0.5
unipredict/saunakghosh/nba-players-dataset,0.828,0.648,0.766,0.734,0.719,0.852,0.648,0.836,,,0.125
unipredict/saurabh00007/diabetescsv,0.578,0.719,0.578,0.609,0.695,0.695,0.703,0.703,0.664,,0.5
unipredict/sbhatti/financial-sentiment-analysis,0.594,0.625,0.57,0.609,0.602,0.656,0.625,0.68,0.555,,0.333
unipredict/shashankshukla123123/marketing-campaign,0.266,0.609,0.781,0.758,0.812,0.844,0.82,,,,0.5
unipredict/shivamb/disney-movies-and-tv-shows,0.883,0.969,0.961,0.969,0.969,0.977,0.977,0.984,,,0.5
unipredict/shivamb/hm-stores-dataset,0.211,0.508,0.578,0.438,0.547,0.5,0.477,,,,0.25
unipredict/shreyanshverma27/imdb-horror-chilling-movie-dataset,0.398,0.539,0.484,0.438,0.484,0.5,0.484,0.5,,,0.25
unipredict/shreyapurohit/anime-data,0.266,0.398,0.625,0.734,0.789,0.828,0.938,0.906,,,0.25
unipredict/shroukgomaa/babies-food-ingredients,0.289,0.234,0.273,0.305,0.32,0.281,0.484,,,,0.25
unipredict/shubhamgupta012/titanic-dataset,0.742,0.695,0.758,0.711,0.703,0.727,0.773,0.734,0.797,,0.5
unipredict/siddharthss/crop-recommendation-dataset,0.102,0.125,0.148,0.234,0.227,0.391,0.43,0.625,,,0.045
unipredict/sidhus/crab-age-prediction,0.047,0.078,0.172,0.094,0.148,0.125,0.148,0.195,,,0.053
unipredict/suraj520/dairy-goods-sales-dataset,0.617,0.539,0.508,0.625,0.508,0.68,0.711,,,,0.25
unipredict/surajjha101/stores-area-and-sales-data,0.25,0.188,0.258,0.258,0.234,0.266,0.32,0.25,,,0.25
unipredict/surajjha101/top-youtube-channels-data,0.508,0.461,0.516,0.445,0.508,0.375,0.492,0.469,,,0.077
unipredict/tahzeer/indian-startups-by-state,0.062,0.117,0.172,0.172,0.141,0.234,,,,,0.012
unipredict/tarkkaanko/amazon,0.469,0.859,0.82,0.82,0.766,0.875,0.836,,,,0.2
unipredict/team-ai/spam-text-message-classification,0.75,0.719,0.758,0.844,0.867,0.969,0.938,0.961,0.977,1.0,0.5
unipredict/teertha/ushealthinsurancedataset,0.312,0.578,0.602,0.625,0.617,0.656,0.789,0.711,,,0.25
unipredict/tejashvi14/employee-future-prediction,0.516,0.586,0.594,0.461,0.531,0.641,0.609,0.477,0.469,,0.5
unipredict/tejashvi14/engineering-placements-prediction,0.617,0.594,0.531,0.594,0.594,0.57,0.656,0.773,0.75,,0.5
unipredict/thedevastator/cancer-patients-and-air-pollution-a-new-link,0.039,0.039,0.039,0.062,0.109,0.047,0.102,,,,0.029
unipredict/thedevastator/employee-attrition-and-factors,0.805,0.828,0.789,0.883,0.812,0.805,0.781,,,,0.5
unipredict/thedevastator/higher-education-predictors-of-student-retention,0.672,0.812,0.883,0.844,0.867,0.859,0.906,,,,0.5
unipredict/therealsampat/predict-movie-success-rate,0.617,0.727,0.906,0.844,0.883,0.898,0.805,,,,0.5
unipredict/timoboz/tesla-stock-data-from-2010-to-2020,0.992,0.992,0.992,0.977,0.984,1.0,0.984,1.0,,,0.25
unipredict/uciml/mushroom-classification,0.555,0.57,0.656,0.789,0.734,0.812,0.898,0.961,,,0.5
unipredict/uciml/pima-indians-diabetes-database,0.648,0.672,0.648,0.664,0.664,0.664,0.68,0.703,0.734,,0.5
unipredict/uciml/red-wine-quality-cortez-et-al-2009,0.344,0.305,0.438,0.352,0.344,0.43,0.414,0.461,,,0.2
unipredict/varpit94/tesla-stock-data-updated-till-28jun2021,0.984,0.992,0.961,0.992,1.0,1.0,0.992,1.0,,,0.25
unipredict/vedavyasv/usa-housing,0.242,0.219,0.258,0.25,0.305,0.305,0.398,,,,0.25
unipredict/vijayvvenkitesh/microsoft-stock-time-series-analysis,0.984,1.0,0.984,0.977,0.977,0.984,0.977,0.953,,,0.25
unipredict/vikramamin/customer-churn-decision-tree-and-random-forest,0.711,0.672,0.672,0.664,0.711,0.719,0.688,0.664,,,0.5
unipredict/vikramamin/time-series-forecasting-using-prophet-in-r,0.211,0.289,0.336,0.367,0.359,0.406,0.484,0.578,,,0.25
unipredict/vstacknocopyright/blood-transfusion-service-center-data,0.484,0.422,0.477,0.523,0.57,0.578,0.781,0.672,0.727,0.609,0.5
unipredict/warcoder/earthquake-dataset,0.82,0.773,0.883,0.828,0.82,0.906,0.93,,,,0.25
unipredict/whenamancodes/predict-diabities,0.672,0.625,0.664,0.68,0.695,0.68,0.711,0.781,0.688,,0.5
unipredict/whenamancodes/students-performance-in-exams,0.5,0.539,0.531,0.578,0.453,0.492,0.516,0.5,,,0.25
unipredict/yasserh/titanic-dataset,0.711,0.742,0.695,0.805,0.727,0.789,0.781,0.805,0.773,,0.5
unipredict/yasserh/wine-quality-dataset,0.391,0.414,0.43,0.367,0.359,0.547,0.391,0.5,,,0.2
