Task,TabuLa-8B (0 shots),TabuLa-8B (1 shots),TabuLa-8B (2 shots),TabuLa-8B (3 shots),TabuLa-8B (4 shots),TabuLa-8B (8 shots),TabuLa-8B (16 shots),TabuLa-8B (32 shots),TabuLa-8B (64 shots),TabuLa-8B (128 shots),Random Baseline
grinsztajn/num_reg/nyc-taxi-green-dec-2016,0.273,0.344,0.484,0.445,0.406,0.516,0.477,,,,0.25
grinsztajn/num_reg/pol,0.602,0.57,0.562,0.492,0.617,0.711,0.789,0.867,,,0.5
grinsztajn/num_reg/sulfur,0.258,0.188,0.203,0.242,0.227,0.281,0.367,0.383,,,0.25
grinsztajn/num_reg/superconduct,0.242,0.281,0.25,0.289,0.438,,,,,,0.25
grinsztajn/num_reg/wine_quality,0.578,0.547,0.531,0.578,0.508,0.547,0.578,0.516,,,0.333
grinsztajn/num_reg/year,0.227,0.242,0.242,0.32,0.289,,,,,,0.25
openml_cc18/Fashion-MNIST,0.07,,,,,,,,,,0.1
openml_cc18/GesturePhaseSegmentationProcessed,0.266,0.266,0.242,0.305,0.312,0.281,,,,,0.2
openml_cc18/MiceProtein,0.125,0.125,0.203,0.172,0.211,,,,,,0.125
openml_cc18/PhishingWebsites,0.516,0.531,0.523,0.617,0.656,0.734,0.641,,,,0.5
openml_cc18/adult,0.727,0.828,0.859,0.805,0.812,0.812,0.812,0.828,,,0.5
openml_cc18/analcatdata_authorship,0.234,0.344,0.367,0.391,0.438,0.414,0.672,,,,0.25
openml_cc18/analcatdata_dmft,0.125,0.211,0.156,0.148,0.156,0.164,0.148,0.125,0.211,,0.167
openml_cc18/bank-marketing,0.508,0.656,0.625,0.758,0.758,0.852,0.844,0.844,,,0.5
openml_cc18/banknote-authentication,0.477,0.594,0.641,0.68,0.68,0.797,0.883,0.922,0.992,,0.5
openml_cc18/blood-transfusion-service-center,0.516,0.547,0.578,0.617,0.664,0.594,0.633,0.586,0.68,0.734,0.5
openml_cc18/breast-w,0.938,0.977,0.898,0.93,0.961,0.977,0.961,0.984,,,0.5
openml_cc18/car,0.789,0.766,0.781,0.859,0.898,0.844,0.898,0.898,0.898,,0.25
openml_cc18/churn,0.703,0.781,0.789,0.812,0.758,0.805,0.859,0.914,,,0.5
openml_cc18/cmc,0.32,0.414,0.383,0.359,0.383,0.352,0.383,0.352,,,0.333
openml_cc18/cnae-9,0.172,,,,,,,,,,0.111
openml_cc18/connect-4,0.297,0.32,0.453,0.461,0.414,0.43,0.43,,,,0.333
openml_cc18/credit-approval,0.484,0.547,0.711,0.547,0.555,0.602,0.602,0.742,,,0.5
openml_cc18/credit-g,0.508,0.586,0.555,0.57,0.523,0.688,0.602,0.703,,,0.5
openml_cc18/diabetes,0.617,0.656,0.602,0.641,0.656,0.68,0.633,0.68,0.758,,0.5
openml_cc18/dna,0.312,0.352,0.414,0.383,0.43,,,,,,0.333
openml_cc18/electricity,0.438,0.609,0.531,0.523,0.633,0.641,0.703,0.711,,,0.5
openml_cc18/eucalyptus,0.273,0.242,0.289,0.289,0.352,0.422,0.422,0.359,,,0.2
openml_cc18/first-order-theorem-proving,0.211,0.18,0.195,0.25,0.195,0.203,,,,,0.167
openml_cc18/har,0.125,,,,,,,,,,0.167
openml_cc18/isolet,0.022,,,,,,,,,,0.038
openml_cc18/jm1,0.812,0.727,0.734,0.805,0.75,0.805,0.734,0.805,,,0.5
openml_cc18/jungle_chess_2pcs_raw_endgame_complete,0.477,0.477,0.477,0.469,0.555,0.508,0.367,0.516,0.547,,0.333
openml_cc18/kc1,0.852,0.781,0.812,0.773,0.836,0.82,0.844,0.82,,,0.5
openml_cc18/kr-vs-kp,0.469,0.484,0.477,0.5,0.508,0.586,0.484,,,,0.5
openml_cc18/letter,0.039,0.07,0.031,0.125,0.07,0.133,0.219,0.266,,,0.038
openml_cc18/madelon,0.531,,,,,,,,,,0.5
openml_cc18/mfeat-factors,0.078,0.148,0.203,0.102,0.172,,,,,,0.1
openml_cc18/mfeat-fourier,0.086,0.203,0.086,0.195,0.172,,,,,,0.1
openml_cc18/mfeat-karhunen,0.078,0.148,0.219,0.125,0.141,,,,,,0.1
openml_cc18/mfeat-morphological,0.141,0.102,0.164,0.172,0.188,0.258,0.398,0.555,,,0.1
openml_cc18/mfeat-pixel,0.109,0.102,0.156,0.125,,,,,,,0.1
openml_cc18/mfeat-zernike,0.141,0.094,0.094,0.242,0.141,0.172,,,,,0.1
openml_cc18/mnist_784,0.148,,,,,,,,,,0.1
openml_cc18/nomao,0.398,0.508,0.602,0.672,0.742,,,,,,0.5
openml_cc18/numerai28.6,0.539,0.547,0.531,0.492,0.469,0.391,0.594,,,,0.5
openml_cc18/optdigits,0.07,0.086,0.117,0.188,0.094,0.102,,,,,0.1
openml_cc18/ozone-level-8hr,0.445,0.781,0.828,0.836,0.852,,,,,,0.5
openml_cc18/pc1,0.766,0.922,0.883,0.859,0.945,0.906,0.883,0.898,,,0.5
openml_cc18/pc3,0.82,0.781,0.766,0.883,0.875,0.891,0.852,,,,0.5
openml_cc18/pc4,0.609,0.812,0.859,0.805,0.914,0.922,0.844,,,,0.5
openml_cc18/pendigits,0.039,0.102,0.125,0.234,0.242,0.406,0.445,0.523,,,0.1
openml_cc18/phoneme,0.453,0.539,0.664,0.633,0.641,0.68,0.664,0.734,0.734,,0.5
openml_cc18/qsar-biodeg,0.508,0.469,0.516,0.492,0.523,0.711,0.703,,,,0.5
openml_cc18/satimage,0.18,0.258,0.172,0.219,0.32,0.539,,,,,0.167
openml_cc18/segment,0.195,0.305,0.305,0.367,0.438,0.508,0.617,,,,0.143
openml_cc18/semeion,0.148,0.117,0.117,0.078,,,,,,,0.1
openml_cc18/sick,0.938,0.961,0.922,0.953,0.914,0.93,0.883,,,,0.5
openml_cc18/spambase,0.555,0.648,0.664,0.703,0.68,0.742,,,,,0.5
openml_cc18/splice,0.336,0.344,0.359,0.367,0.328,0.469,0.352,,,,0.333
openml_cc18/steel-plates-fault,0.141,0.211,0.203,0.188,0.273,0.406,0.383,,,,0.143
openml_cc18/texture,0.07,0.062,0.164,0.172,0.18,0.266,,,,,0.091
openml_cc18/tic-tac-toe,0.383,0.461,0.547,0.547,0.609,0.469,0.539,0.523,0.602,,0.5
openml_cc18/vehicle,0.219,0.211,0.297,0.297,0.258,0.344,0.383,0.484,,,0.25
openml_cc18/vowel,0.055,0.109,0.023,0.125,0.125,0.219,0.258,0.172,,,0.091
openml_cc18/wall-robot-navigation,0.25,0.297,0.344,0.352,0.305,0.367,0.414,,,,0.25
openml_cc18/wilt,0.594,0.875,0.836,0.883,0.812,0.906,0.938,0.969,0.93,,0.5
openml_ctr23/Moneyball,0.477,0.43,0.438,0.555,0.375,0.477,0.508,0.609,,,0.25
openml_ctr23/QSAR_fish_toxicity,0.266,0.211,0.383,0.289,0.305,0.391,0.312,0.484,,,0.25
openml_ctr23/abalone,0.273,0.359,0.359,0.445,0.43,0.367,0.516,0.406,,,0.25
openml_ctr23/airfoil_self_noise,0.258,0.281,0.258,0.234,0.305,0.305,0.281,0.383,,,0.25
openml_ctr23/auction_verification,0.266,0.273,0.242,0.32,0.344,0.359,0.328,0.398,,,0.25
openml_ctr23/brazilian_houses,0.438,0.461,0.508,0.516,0.578,0.562,0.539,0.633,,,0.25
openml_ctr23/california_housing,0.32,0.297,0.359,0.367,0.375,0.469,0.422,0.461,,,0.25
openml_ctr23/cars,0.359,0.352,0.352,0.375,0.336,0.43,0.539,0.656,,,0.25
openml_ctr23/concrete_compressive_strength,0.328,0.461,0.453,0.547,0.484,0.469,0.461,0.562,,,0.25
openml_ctr23/cps88wages,0.391,0.312,0.359,0.406,0.367,0.398,0.383,0.422,,,0.25
openml_ctr23/cpu_activity,0.25,0.258,0.312,0.312,0.375,0.414,0.57,,,,0.25
openml_ctr23/diamonds,0.438,0.617,0.625,0.633,0.68,0.68,0.773,0.742,,,0.25
openml_ctr23/energy_efficiency,0.391,0.344,0.344,0.414,0.461,0.586,0.75,0.719,,,0.25
openml_ctr23/fifa,0.352,0.344,0.453,0.398,0.359,0.484,0.508,,,,0.25
openml_ctr23/fps_benchmark,0.242,0.344,0.297,0.398,0.367,0.328,,,,,0.25
openml_ctr23/geographical_origin_of_music,0.281,0.234,0.227,0.242,,,,,,,0.25
openml_ctr23/grid_stability,0.242,0.375,0.328,0.297,0.297,0.336,0.336,,,,0.25
openml_ctr23/health_insurance,0.406,0.5,0.469,0.469,0.5,0.398,0.484,0.633,,,0.333
openml_ctr23/kin8nm,0.312,0.219,0.164,0.25,0.242,0.344,0.258,0.297,,,0.25
openml_ctr23/kings_county,0.305,0.391,0.383,0.367,0.422,0.375,0.398,,,,0.25
openml_ctr23/miami_housing,0.273,0.328,0.383,0.312,0.391,0.398,0.375,,,,0.25
openml_ctr23/naval_propulsion_plant,0.211,0.258,0.25,0.305,0.227,0.266,0.258,,,,0.25
openml_ctr23/physiochemical_protein,0.242,0.219,0.234,0.18,0.289,0.234,0.25,0.281,,,0.25
openml_ctr23/pumadyn32nh,0.219,0.25,0.172,0.266,0.273,0.227,,,,,0.25
openml_ctr23/red_wine,0.523,0.539,0.547,0.531,0.508,0.562,0.57,0.656,,,0.333
openml_ctr23/sarcos,0.227,0.195,0.312,0.328,0.203,0.281,0.312,,,,0.25
openml_ctr23/socmob,0.391,0.539,0.539,0.484,0.523,0.641,0.656,0.695,,,0.25
openml_ctr23/space_ga,0.203,0.234,0.25,0.219,0.219,0.266,0.297,0.305,,,0.25
openml_ctr23/student_performance_por,0.375,0.305,0.32,0.266,0.258,0.328,0.336,,,,0.25
openml_ctr23/superconductivity,0.25,0.297,0.328,0.336,0.352,,,,,,0.25
openml_ctr23/video_transcoding,0.25,0.164,0.203,0.25,0.336,0.305,0.312,,,,0.25
openml_ctr23/wave_energy,0.234,0.297,0.281,0.297,0.273,0.375,,,,,0.25
openml_ctr23/white_wine,0.484,0.531,0.523,0.539,0.594,0.523,0.539,0.594,,,0.333
unipredict/aakashjoshi123/exercise-and-fitness-metrics-dataset,0.383,0.555,0.539,0.547,0.641,0.727,0.82,0.766,,,0.25
unipredict/aakashjoshi123/spotify-top-hits-data,0.555,0.695,0.68,0.742,0.797,0.773,0.766,0.781,,,0.077
unipredict/abcsds/pokemon,0.977,0.992,0.984,0.992,0.984,0.984,0.992,0.992,,,0.059
unipredict/adityakadiwal/water-potability,0.562,0.469,0.484,0.43,0.469,0.578,0.523,0.516,,,0.5
unipredict/agirlcoding/all-space-missions-from-1957,0.891,0.922,0.914,0.914,0.875,0.906,0.891,0.867,,,0.333
unipredict/ahsan81/food-ordering-and-delivery-app-dataset,0.273,0.266,0.258,0.242,0.266,0.234,0.234,0.242,0.234,,0.25
unipredict/ahsan81/superstore-marketing-campaign-dataset,0.516,0.602,0.672,0.625,0.727,0.781,0.797,0.766,,,0.5
unipredict/akshaydattatraykhare/diabetes-dataset,0.586,0.586,0.625,0.719,0.742,0.711,0.781,0.672,0.641,,0.5
unipredict/alexisbcook/pakistan-intellectual-capital,0.609,0.5,0.625,0.578,0.656,0.656,0.68,,,,0.083
unipredict/alirezachahardoli/bank-personal-loan-1,0.758,0.797,0.844,0.906,0.773,0.883,0.859,0.914,0.945,,0.5
unipredict/altruistdelhite04/gold-price-data,0.562,0.633,0.672,0.719,0.68,0.688,0.766,0.867,,,0.25
unipredict/amirhosseinmirzaie/countries-life-expectancy,0.766,0.75,0.773,0.695,0.719,0.734,0.75,,,,0.25
unipredict/amirhosseinmirzaie/pistachio-types-detection,0.547,0.547,0.516,0.664,0.57,0.734,0.789,,,,0.5
unipredict/ananthr1/weather-prediction,0.703,0.773,0.797,0.797,0.828,0.828,0.867,0.812,0.867,,0.2
unipredict/andrewmvd/fetal-health-classification,0.211,0.641,0.766,0.773,0.734,0.75,0.742,,,,0.333
unipredict/andrewmvd/udemy-courses,1.0,1.0,1.0,0.969,1.0,0.992,1.0,0.992,,,0.25
unipredict/arashnic/time-series-forecasting-with-yahoo-stock-price,0.992,0.984,0.992,0.984,1.0,0.977,0.992,0.984,,,0.25
unipredict/arnabchaki/data-science-salaries-2023,0.898,0.938,0.984,0.945,0.961,0.945,0.969,0.969,,,0.25
unipredict/arnabchaki/indian-restaurants-2023,0.281,0.336,0.242,0.281,0.289,0.258,0.266,0.242,,,0.25
